custody_id,participant_age_group,participant_gender,participant_status,participant_type,latitude,longitude,gun_stolen,gun_type,incident_id,date_fk
126485,Adult 18+,Female,Unharmed,Victim,42.4533,-73.2494,Irrelevant,Irrelevant,67018,564
126515,Adult 18+,Male,Killed,Victim,41.2407,-77.0235,Irrelevant,Irrelevant,67034,564
126516,Adult 18+,Male,Injured,Victim,41.2407,-77.0235,Irrelevant,Irrelevant,67034,564
126517,Adult 18+,Female,Injured,Victim,41.2407,-77.0235,Irrelevant,Irrelevant,67034,564
126637,Adult 18+,Male,Injured,Victim,45.7107,-121.522,Irrelevant,Irrelevant,67107,564
54784,Adult 18+,Male,Killed,Victim,38.6155,-90.1578,Irrelevant,Irrelevant,27841,289
126656,Adult 18+,Male,Injured,Victim,38.6155,-90.1578,Irrelevant,Irrelevant,67116,564
126667,Adult 18+,Male,Killed,Victim,42.4806,-82.9445,Irrelevant,Irrelevant,67123,564
126782,Adult 18+,Male,Killed,Victim,35.2622,-80.8898,Irrelevant,Irrelevant,67191,565
126803,Adult 18+,Male,Injured,Victim,25.8464,-80.2601,Irrelevant,Irrelevant,67205,565
126810,Adult 18+,Female,Unharmed,Victim,47.201,-122.471,Irrelevant,Irrelevant,67209,565
126855,Adult 18+,Male,Injured,Victim,32.7158,-103.152,Irrelevant,Irrelevant,67242,565
126894,Adult 18+,Male,Injured,Victim,37.7795,-80.4635,Irrelevant,Irrelevant,67268,565
126905,Adult 18+,Male,Injured,Victim,38.9631,-92.3364,Irrelevant,Irrelevant,67273,565
126913,Adult 18+,Male,Arrested,Victim,42.7541,-71.4715,Irrelevant,Irrelevant,67277,565
381234,Adult 18+,Female,Killed,Victim,30.426,-87.2229,Irrelevant,Irrelevant,217670,1490
405707,Adult 18+,Female,Killed,Victim,30.426,-87.2229,Irrelevant,Irrelevant,232449,1586
126915,Adult 18+,Female,Unharmed,Victim,30.426,-87.2229,Irrelevant,Irrelevant,67278,565
126968,Adult 18+,Male,Unharmed,Victim,40.6516,-111.83,Irrelevant,Irrelevant,67311,566
126969,Adult 18+,Female,Unharmed,Victim,40.6516,-111.83,Irrelevant,Irrelevant,67311,566
126988,Adult 18+,Male,Killed,Victim,33.9286,-80.334,Irrelevant,Irrelevant,67323,566
126993,Adult 18+,Female,Injured,Victim,30.328,-89.9268,Irrelevant,Irrelevant,67327,566
127016,Adult 18+,Female,Injured,Victim,30.328,-89.9268,Irrelevant,Irrelevant,67342,566
127003,Adult 18+,Male,Unharmed,Victim,42.5447,-122.567,Irrelevant,Irrelevant,67332,566
254033,Adult 18+,Male,Injured,Victim,40.2371,-74.7788,Irrelevant,Irrelevant,141042,1041
254034,Adult 18+,Male,Injured,Victim,40.2371,-74.7788,Irrelevant,Irrelevant,141042,1041
260709,Adult 18+,Male,Injured,Victim,40.2371,-74.7788,Irrelevant,Irrelevant,144999,1063
321436,Adult 18+,Male,Injured,Victim,40.2371,-74.7788,Irrelevant,Irrelevant,181277,1279
379218,Adult 18+,Male,Injured,Victim,40.2371,-74.7788,Irrelevant,Irrelevant,216471,1483
379219,Adult 18+,Male,Injured,Victim,40.2371,-74.7788,Irrelevant,Irrelevant,216471,1483
127057,Adult 18+,Female,Killed,Victim,40.8989,-73.8595,Irrelevant,Irrelevant,67370,566
127076,Adult 18+,Male,Unharmed,Victim,34.7952,-81.4843,Irrelevant,Irrelevant,67383,566
127084,Adult 18+,Male,Injured,Victim,41.0668,-85.1472,Irrelevant,Irrelevant,67389,566
127099,Adult 18+,Male,Killed,Victim,29.9281,-90.077,Irrelevant,Irrelevant,67396,566
127114,Adult 18+,Male,Killed,Victim,47.358,-121.979,Irrelevant,Irrelevant,67401,566
127129,Adult 18+,Male,Injured,Victim,41.6825,-87.624,Irrelevant,Irrelevant,67410,566
127130,Adult 18+,Male,Injured,Victim,41.6825,-87.624,Irrelevant,Irrelevant,67410,566
127147,Adult 18+,Male,Killed,Victim,31.0822,-97.6621,Irrelevant,Irrelevant,67419,566
127146,Adult 18+,Male,Injured,Victim,31.0822,-97.6621,Irrelevant,Irrelevant,67419,566
127182,Adult 18+,Female,Killed,Victim,30.6568,-88.1035,Irrelevant,Irrelevant,67436,566
127212,Adult 18+,Male,Unharmed,Victim,42.6043,-71.3773,Irrelevant,Irrelevant,67453,566
127213,Adult 18+,Male,Unharmed,Victim,42.6043,-71.3773,Irrelevant,Irrelevant,67453,566
127214,Adult 18+,Male,Unharmed,Victim,42.6043,-71.3773,Irrelevant,Irrelevant,67453,566
127247,Adult 18+,Male,Injured,Victim,35.8276,-86.0717,Irrelevant,Irrelevant,67475,567
127263,Adult 18+,Male,Unharmed,Victim,44.7576,-69.7232,Irrelevant,Irrelevant,67486,567
127277,Adult 18+,Female,Killed,Victim,34.2077,-78.9339,Irrelevant,Irrelevant,67495,567
127291,Adult 18+,Male,Injured,Victim,39.9036,-79.7315,Irrelevant,Irrelevant,67503,567
127983,Adult 18+,Female,Unharmed,Victim,39.9639,-75.2151,Irrelevant,Irrelevant,67926,569
127984,Adult 18+,Female,Unharmed,Victim,39.9639,-75.2151,Irrelevant,Irrelevant,67926,569
127319,Adult 18+,Male,Unharmed,Victim,38.9783,-76.4886,Irrelevant,Irrelevant,67517,567
127342,Adult 18+,Male,Unharmed,Victim,32.6706,-93.6921,Irrelevant,Irrelevant,67529,567
127340,Adult 18+,Female,Unharmed,Victim,32.6706,-93.6921,Irrelevant,Irrelevant,67529,567
127339,Teen 12-17,Male,Unharmed,Victim,32.6706,-93.6921,Irrelevant,Irrelevant,67529,567
127402,Adult 18+,Male,Injured,Victim,37.0097,-85.8997,Irrelevant,Irrelevant,67565,567
127420,Adult 18+,Male,Injured,Victim,34.7077,-81.6189,Irrelevant,Irrelevant,67578,567
127470,Adult 18+,Male,Injured,Victim,46.2671,-122.987,Irrelevant,Irrelevant,67612,568
127474,Adult 18+,Female,Unharmed,Victim,38.7542,-90.2607,Irrelevant,Irrelevant,67615,568
127489,Adult 18+,Female,Unharmed,Victim,47.5416,-122.275,Irrelevant,Irrelevant,67622,568
131103,Adult 18+,Male,Injured,Victim,42.1171,-72.5656,Irrelevant,Irrelevant,69769,581
267833,Adult 18+,Male,Injured,Victim,42.1171,-72.5656,Irrelevant,Irrelevant,149224,1089
292010,Adult 18+,Female,Injured,Victim,42.1171,-72.5656,Irrelevant,Irrelevant,163407,1174
389106,Adult 18+,Male,Injured,Victim,40.1369,-88.2746,Irrelevant,Irrelevant,222406,1520
127542,Adult 18+,Male,Killed,Victim,31.6945,-106.341,Irrelevant,Irrelevant,67663,568
127561,Adult 18+,Male,Injured,Victim,43.9498,-88.085,Irrelevant,Irrelevant,67676,568
